probe_id,gene_symbol,entrez_gene_id,sepsis_mean,healthy_mean,mean_difference,p_value,fdr
ILMN_1721386,ERAS,3266.0,4.509453433782609,4.251376478416667,0.2580769553659419,0.000656163694451453,0.0013155708058108198
ILMN_1722016,LY6G5C,80741.0,4.448499931478262,4.194039994666666,0.2544599368115952,0.0006562269236978764,0.0013156389894308897
ILMN_1676997,TREX1,11277.0,4.686127704956522,4.327856864416666,0.35827084053985647,0.000656261488328092,0.0013156497011753358
ILMN_3245752,LOC100134011,100134011.0,4.721012828434783,4.416190160249999,0.30482266818478365,0.0006563318446524703,0.0013157321626870372
ILMN_1764797,GLRA1,2741.0,4.562520297434783,4.25178984125,0.3107304561847828,0.0006564802855930389,0.0013159711441787796
ILMN_1763603,FAM177A1,283635.0,4.532150118695653,4.211866326416667,0.3202837922789863,0.0006565233723959665,0.0013159989223713816
ILMN_1883050,,,5.299479039347826,4.639661845,0.6598171943478262,0.0006565261038853704,0.0013159458095998145
ILMN_1795511,LOC649101,649101.0,4.684990135826086,4.2760404327499995,0.4089497030760869,0.0006566869673310534,0.0013162096483170555
ILMN_1764266,CKMT2,1160.0,4.670612394826088,4.333500308416667,0.33711208640942036,0.0006567028878124264,0.001316182964653618
ILMN_2112460,MAD2L1,4085.0,4.701720728695652,4.257974956500001,0.44374577219565126,0.0006567685005442886,0.0013162558735813712
ILMN_1727173,SMARCD1,6602.0,4.622220204521739,4.29451412275,0.32770608177173877,0.0006568199278422696,0.0013163003476917344
ILMN_3239659,LOC729907,729907.0,4.531850087391305,4.257726515333334,0.2741235720579711,0.0006568859836523134,0.001316374132816046
ILMN_2414878,STXBP1,6812.0,4.573408396782609,4.2907594646666665,0.28264893211594266,0.0006570043241995512,0.0013165526833023142
ILMN_1666808,LOC652586,652586.0,4.484478709043478,4.223898285250001,0.2605804237934777,0.0006571046629781298,0.0013166951462577035
ILMN_1721605,SMYD2,56950.0,5.694857366130435,5.124147858166667,0.5707095079637678,0.000657152946439461,0.001316733293615659
ILMN_1678390,LOC653468,653468.0,4.466268301826087,4.208359602833334,0.25790869899275304,0.0006572279593880735,0.0013168249929032634
ILMN_3198790,LOC441768,441768.0,4.58896793326087,4.244546220666666,0.34442171259420373,0.0006572570653109466,0.0013168247085926818
ILMN_1784036,CDH15,1013.0,4.592795884739131,4.245233839583333,0.34756204515579725,0.0006575823817295205,0.0013174178602148446
ILMN_2348194,OLA1,29789.0,4.478389463521738,4.1979189759999995,0.28047048752173875,0.0006576196807014718,0.0013174339629893372
ILMN_1762061,C21orf41,54073.0,4.519260102434783,4.262153050083334,0.2571070523514498,0.000657739383729647,0.001317615140096102
ILMN_1804207,MRPL4,51073.0,4.638249938304348,4.329510406583334,0.308739531721014,0.0006577551553996669,0.0013175881100533548
ILMN_1759563,NRIP3,56675.0,5.4925643429565225,4.957316250416666,0.5352480925398568,0.0006577774145162026,0.0013175740772239618
ILMN_1788481,ADAM19,8728.0,4.474252052608696,4.1899245907500005,0.2843274618586955,0.0006577824230811546,0.0013175254931213998
ILMN_1780502,LOC641798,641798.0,5.44972875226087,4.897461832583334,0.5522669196775363,0.0006579250676398658,0.0013177525833155245
ILMN_2213759,DBX2,440097.0,4.478041670826086,4.214044417333334,0.2639972534927528,0.000657948952928382,0.0013177418019437075
ILMN_1730645,TMEFF2,23671.0,4.456683882043478,4.191490794583333,0.2651930874601449,0.0006580443221036608,0.0013178741832691214
ILMN_2281320,LAT,27040.0,4.503758539695652,4.216425653083333,0.2873328866123188,0.0006581136191244021,0.0013179543400870899
ILMN_2359835,SFTPB,6439.0,4.614309855304349,4.294762440250001,0.31954741505434736,0.0006582655540371622,0.0013181999750662792
ILMN_1721115,LOC645743,645743.0,4.544058828173913,4.275693959583333,0.26836486859057995,0.0006583011998399322,0.0013182127255111753
ILMN_3236321,C2CD4C,126567.0,4.734869767869564,4.374289146083332,0.36058062178623196,0.0006583451822347652,0.0013182421676564747
ILMN_1728308,LOC648816,648816.0,4.505355225391305,4.228552230833333,0.27680299455797197,0.0006583474277056981,0.0013181880386726695
ILMN_1673261,EPS8L3,79574.0,4.475985772652173,4.216221625999999,0.2597641466521736,0.0006583836186523139,0.0013182018794229166
ILMN_3191940,LOC100128049,100128049.0,4.6142646817826085,4.307039907166667,0.3072247746159418,0.0006583964351700166,0.0013181689212317528
ILMN_3308708,MIR1245,100302219.0,4.4866323230869565,4.21628632525,0.2703459978369569,0.0006584059655363179,0.0013181293870933185
ILMN_1669727,WAC,51322.0,5.006659798304348,4.5420319762500005,0.4646278220543474,0.0006584387489851611,0.0013181364070946602
ILMN_1690252,ALKBH2,121642.0,5.217200636173913,4.775064277083334,0.44213635909057913,0.0006584878064302181,0.001318176004130884
ILMN_3248273,LOC100132168,100132168.0,4.487836561782609,4.198122287749999,0.28971427403260996,0.0006585173941580963,0.0013181766244522485
ILMN_2256953,CASZ1,54897.0,4.711515105391305,4.338163557000001,0.37335154839130436,0.0006585770692806821,0.001318237469000318
ILMN_1722733,LOC441155,441155.0,4.5954841029999995,4.289717239500001,0.3057668634999988,0.0006589511220709715,0.0013189275526363186
ILMN_1680054,LAMB3,3914.0,4.537074894913045,4.24993153125,0.28714336366304494,0.0006590080370354698,0.001318982834027471
ILMN_1734096,DCLRE1A,9937.0,4.8898651486086955,4.376316367166666,0.5135487814420294,0.0006592410045739512,0.001319390458256268
ILMN_1755897,UGT2B7,7364.0,4.460034361043478,4.200826517583334,0.25920784346014436,0.0006592506593918937,0.0013193511329422248
ILMN_1662189,LOC645732,645732.0,4.635592304347826,4.300178152416666,0.3354141519311602,0.0006595065054445926,0.0013198044890493329
ILMN_1671433,LOC646895,646895.0,4.49938288152174,4.2486120346666665,0.25077084685507334,0.0006596571922148809,0.0013200473694426676
ILMN_1748338,GPR85,54329.0,4.43986373773913,4.170196441083333,0.2696672966557969,0.0006597606130934086,0.0013201956481468683
ILMN_2168421,SPATA8,145946.0,4.4778325623913044,4.2064234045,0.2714091578913047,0.0006598528909769036,0.0013203216172815932
ILMN_3310528,MIR1264,100302251.0,4.49403839226087,4.230297087166666,0.2637413050942037,0.0006598956175681544,0.0013203484307959742
ILMN_1670076,FAM155B,27112.0,4.848737371391303,4.288628896833333,0.5601084745579703,0.0006599033522072859,0.001320305231588172
ILMN_1666753,FLJ20397,54919.0,4.6001164465217395,4.27617379025,0.3239426562717398,0.0006600062329461242,0.0013204523918384887
ILMN_1657033,LOC647519,647519.0,4.733481727956521,4.332635172833333,0.4008465551231879,0.0006602120946932156,0.0013208055605142255
ILMN_3183213,C6orf176,90632.0,4.464631495608697,4.206513848833333,0.2581176467753643,0.0006602231905363588,0.0013207690708041623
ILMN_2379226,CCNL2,81669.0,4.86083285873913,4.381858669333333,0.47897418940579684,0.0006603113875043227,0.00132088681741712
ILMN_1783418,LOC643734,643734.0,4.509182944913043,4.2461786805,0.26300426441304303,0.0006603781112823528,0.001320961600509391
ILMN_1683872,VCY,9084.0,4.469052265043479,4.2097350963333335,0.25931716871014565,0.00066070439136411,0.0013215555472205038
ILMN_1669427,LOC442206,442206.0,4.461679508086958,4.2045235039166675,0.25715600417029005,0.0006608605826034327,0.0013218092408065017
ILMN_1767322,EDAR,10913.0,4.662190733391306,4.3628638695,0.2993268638913058,0.0006608800606938964,0.0013217894794820887
ILMN_1876787,,,4.6428294359999995,4.26586472425,0.37696471174999946,0.0006610259569973029,0.001322022550723595
ILMN_1776137,LOC643837,643837.0,4.511347016086957,4.24265204075,0.26869497533695696,0.0006611542191704962,0.001322220335349054
