ID_REF,GSM4075768,GSM4075770,GSM4075772,GSM4075774,GSM4075776,GSM4075777,GSM4075780,GSM4075782,GSM4075784,GSM4075786,GSM4075788,GSM4075790,GSM4075792,GSM4075794,GSM4075796,GSM4075798,GSM4075801,GSM4075803,GSM4075804,GSM4075805,GSM4075807,GSM4075809,GSM4075811,GSM4075813,GSM4075814,GSM4075815,GSM4075816,GSM4075817,GSM4075818,GSM4075819,GSM4075820,GSM4075821,GSM4075822,GSM4075823,GSM4075824
ILMN_1745697,6.141430036,8.415511843,8.161725478,8.293135386,9.199918581,8.99070902,6.314648288,6.475568449,6.516840713,5.842209005,5.579596181,6.422332934,6.990786913,4.892519355,6.130067185,5.193985811,7.5849487,8.105666194,6.869272819,7.733905642,8.754155247,8.944264306,7.387466893,7.752643806,7.23832281,7.407181208,7.623957339,7.325601774,7.864606607,7.958872973,8.246617438,8.123209374,7.661289653,8.14953817,8.302955227
ILMN_1745699,4.773838577,5.102083903,5.460435319,5.363928701,5.10467617,5.313900671,4.328046899,4.53029596,4.310304883,4.778576492,4.673155039,4.705056603,4.397612079,4.346586135,4.524438497,4.922939606,4.431250245,4.61293115,5.096535582,5.049938847,4.704668671,4.18836427,4.474961005,4.427700538,4.353982869,4.28495368,4.304750366,4.457973581,4.411378366,4.200671776,4.580904685,4.642515124,4.322213444,4.612244635,4.398281206
ILMN_1745702,4.410344003,5.066807198,5.161178113,5.147747041,4.967206552,5.172426372,4.324250056,4.57556618,4.422904898,4.598850942,4.28786234,4.298067535,4.345116754,4.31647692,4.329647217,4.504910879,4.46517561,4.30340581,4.646986741,4.67196797,4.495903376,4.347375232,4.336902279,4.376102291,4.448291555,4.366947534,4.208921742,4.573174795,4.287428128,4.785287461,4.245737933,4.478908848,4.355787288,4.320133814,4.263957807
ILMN_1745713,4.457744547,5.076927461,5.083929191,5.092693207,5.501201899,5.05046378,4.446860179,4.662938556,4.34746843,4.467734681,4.426058164,4.929337498,4.461741276,4.292720555,4.399907899,4.255054717,4.255694567,4.284997906,4.229819123,4.498354589,4.429301632,4.694958686,4.261394616,4.32472985,4.195861043,4.201768425,4.214644981,4.310764327,4.305599798,4.206106138,4.247551016,4.478702226,4.254309555,4.223213158,4.160928066
ILMN_1745733,4.444457673,5.249466489,5.158603269,5.076182291,5.107826428,5.24015658,4.846585607,4.330469786,4.478835624,4.371106607,4.244270397,4.490415785,4.254522593,4.69228508,4.329027876,4.297425582,4.436566644,4.524268373,4.496502459,4.415271163,4.333134232,4.229079566,4.263633282,4.410045424,4.323913092,4.448993324,4.348726241,4.235837082,4.173397549,4.739443573,4.381424972,4.256156095,4.213126,4.243461529,4.257765896
ILMN_1745737,5.164759995,5.178752572,5.527628299,5.35808461,6.082906046,5.428220101,6.234681121,5.20248873,5.014890609,4.576020684,4.69857448,4.491984741,5.271474866,6.73572028,4.818877497,4.821934546,4.984357997,5.098204809,5.001672189,5.337010974,5.207811023,4.437843306,4.788544805,5.293002249,4.589133512,5.25522873,4.61685294,4.862537256,4.49088242,4.550229262,4.47691396,4.85157374,4.501453732,4.637798841,4.543863927
ILMN_1745764,4.414556925,5.124879027,5.013282269,5.095043217,5.044390582,5.00244487,4.484983487,4.560498492,4.257057514,4.399864292,4.275670112,4.330304861,4.255671564,4.501005019,4.449135519,4.344738744,4.401501544,4.49777481,4.33831105,4.365435877,4.595848461,4.510533969,4.260890203,4.302122262,4.258684345,4.508203532,4.198439408,4.111011426,4.167986844,4.228829974,4.169617894,4.183588951,4.155017614,4.246453723,4.164048725
ILMN_1745765,4.466621715,5.042013898,5.103724191,5.022158297,5.017685186,5.098880941,4.388952586,4.201195999,4.281246051,4.19821528,4.410842019,4.30965018,4.297653099,4.289579471,4.261155274,4.282497934,4.242939933,4.287861443,4.444901801,4.321043047,4.339642168,4.26096116,4.217177332,4.237733395,4.165994841,4.287915886,4.248366019,4.248604347,4.207278605,4.177770934,4.220955329,4.158109216,4.145957446,4.162818468,4.258414077
ILMN_1745772,5.532520359,5.608180204,5.576297528,5.565384937,5.052721327,5.539624634,6.658320879,5.442771598,5.372616081,5.914089917,6.118480125,4.399181607,5.188620213,4.511148541,6.339783251,6.481501036,5.546715016,6.631282293,6.963204648,6.044155469,5.068669644,5.616159106,5.035949311,5.334552198,5.007406416,4.932438402,5.097358094,5.298637118,5.456997078,5.009806081,5.253603912,5.125092128,4.909883829,5.072715629,5.219699002
ILMN_1745778,7.871949159,8.341115489,8.666886793,8.778571384,9.273821011,8.574730033,8.307609533,8.31210999,8.588707259,7.540869532,7.724495568,8.136381405,9.109526017,7.819715443,7.792226916,7.320675725,8.770258403,9.030442195,8.348756229,9.097363555,8.659472724,8.452773297,7.9306219,6.072367219,5.796969164,6.771128527,6.790120712,7.204508168,7.060335705,6.964216274,6.878809903,7.011043502,7.290023268,6.91776652,7.563713775
ILMN_1745779,5.309288986,5.356984878,5.133512002,5.267311032,5.018861682,5.281120511,4.833218619,4.631666456,5.216811629,4.764698127,4.55936662,4.574766339,4.915234793,5.061869811,5.225285873,5.268026036,5.109756671,5.033862773,6.127341681,4.72793836,4.506265959,4.570801578,4.56904647,4.59796798,4.669594292,4.386222516,4.231547649,4.303215842,4.591421894,4.127165657,4.355186035,4.162649591,4.639469972,4.262736081,4.271826599
ILMN_1745784,7.447828205,8.509283527,8.688298482,8.065084599,8.49485968,7.883084341,6.327700604,7.689005716,7.840568489,6.991861773,6.943851053,6.855526554,7.006366346,5.079697718,6.49091328,6.28627538,8.444662343,7.080607118,7.287252632,8.442998601,8.539161148,7.824710966,7.367104748,6.666447694,6.796672758,7.054220561,6.892098744,7.257994604,6.992943151,7.054220561,7.250438288,6.836475698,6.730913447,7.198062066,7.217015086
ILMN_1745785,4.888500772,5.784157469,5.528113655,5.526681661,6.564924543,5.565000936,4.337185661,4.415971284,4.425224427,4.417424621,5.190384805,5.285699422,4.956530483,7.71843524,4.820346501,4.926759071,5.080043724,4.937014373,4.649832253,4.76772304,5.104926633,4.526796099,4.284789703,4.341941907,4.300030727,4.45216926,4.255829674,4.325483219,4.250130457,4.178881958,4.269800205,4.231786344,4.266248493,4.260735353,4.30122263
